problemId,level,averageTries,tags
1105,10,3.1562,"greedy,math,"
1106,11,2.8833,"dp,knapsack,"
1107,11,4.3557,"bruteforcing,"
1108,18,5.2163,"data_structures,graphs,hash_set,scc,topological_sorting,"
1109,18,4.3243,"bfs,dfs,graphs,graph_traversal,implementation,"
1110,5,2.1418,"implementation,math,"
1111,13,5.1292,"bruteforcing,case_work,implementation,math,"
1112,14,2.3488,"implementation,math,number_theory,"
1113,15,2.7483,"bfs,graphs,graph_traversal,implementation,simulation,"
1114,15,4.6898,"binary_search,greedy,parametric_search,"
1115,15,2.1006,"graphs,"
1116,19,3.7027,"graphs,greedy,"
1117,11,3.2832,"implementation,math,"
1118,19,1.6923,"geometry,implementation,sorting,sweeping,"
1119,14,4.5882,"dfs,graphs,graph_traversal,"
1120,7,1.7525,"bruteforcing,string,"
1121,18,4.0222,"dp,knapsack,math,"
1122,17,5.7121,"bfs,case_work,graphs,graph_traversal,math,"
1123,22,3.4091,"exponentiation_by_squaring,math,"
1124,10,2.5121,"math,number_theory,primality_test,sieve,"
1125,17,7.1481,"case_work,greedy,math,"
1126,18,3.8372,"dp,"
1127,22,1.8511,"flow,mfmc,"
1128,20,5.963,"math,"
1129,18,2.9057,"greedy,sorting,"
1130,21,6.875,"bfs,geometry,graphs,graph_traversal,line_intersection,"
1131,16,3.1111,"dfs,dp,graphs,graph_traversal,"
1132,13,3.1452,"greedy,"
1133,16,2.4211,"backtracking,recursion,"
1134,21,6.7692,"bruteforcing,dp,implementation,"
1135,14,2.1778,"dp,dp_tree,greedy,sorting,trees,"
1136,16,6.15,"dp,"
1137,17,1.8333,"bfs,dp,graphs,graph_traversal,"
1138,9,1.681,"implementation,"
1139,15,2.2381,"bitmask,dp,dp_bitfield,"
1140,19,6.1852,"greedy,implementation,math,"
1141,10,1.9234,"greedy,sorting,string,trees,"
1142,17,3.68,"geometry,"
1143,19,3.5676,"graphs,scc,"
1144,23,3.3364,"dp,dp_connection_profile,"
1145,5,1.6162,"bruteforcing,"
1146,17,2.3139,"combinatorics,dp,math,"
1147,18,2.9655,"combinatorics,geometry,math,"
1148,11,2.4776,"implementation,string,"
1149,10,1.8585,"dp,"
1150,22,3.8691,"data_structures,greedy,priority_queue,"
1151,18,3.5,"case_work,convex_hull,geometry,geometry_3d,polygon_area,"
1152,4,3.0686,"implementation,string,"
1153,13,2.5097,"math,number_theory,primality_test,sieve,"
1154,16,3.2055,"graphs,graph_traversal,"
1155,17,2.2667,"ad_hoc,dp,"
1156,21,3.5789,"data_structures,deque,greedy,ternary_search,"
1157,5,2.5238,"implementation,string,"
1158,7,2.0655,"data_structures,implementation,queue,"
1159,4,1.9107,"implementation,string,"
1160,16,3.6917,"exponentiation_by_squaring,math,"
1161,18,2.0926,"data_structures,greedy,lazyprop,segtree,"
1162,15,4.6315,"dijkstra,dp,graphs,"
1163,21,6.1,"dp,implementation,string,"
1164,20,7.5,"ad_hoc,backtracking,greedy,"
1165,23,2.4444,"data_structures,dfs,graphs,graph_traversal,parsing,precomputation,string,trees,trie,"
1166,8,4.8614,"binary_search,"
1167,14,2.9513,"dfs,graphs,graph_traversal,trees,"
1168,18,3.1476,"data_structures,segtree,"
1169,16,4.6,"data_structures,geometry,greedy,stack,"
1170,18,2.3247,"cactus,dfs,graphs,graph_traversal,"
1171,19,3.0769,"dp,"
1172,24,3.3333,
1173,4,2.3554,"implementation,simulation,"
1174,11,2.3977,"backtracking,bruteforcing,"
1175,15,3.5007,"bfs,graphs,graph_traversal,"
1176,15,2.5,"bitmask,dp,dp_bitfield,"
1177,16,4.5263,"case_work,geometry,math,sweeping,"
1178,16,3.2791,"eulerian_path,graphs,"
1179,19,2.629,"dp,math,recursion,"
1180,23,3.5,"biconnected_component,cactus,data_structures,dp,dp_tree,graphs,trees,"
1181,6,2.4772,"sorting,string,"
1182,9,2.2744,"backtracking,bruteforcing,"
1183,9,2.6403,"math,sorting,"
1184,16,2.1824,"bruteforcing,data_structures,hash_set,prefix_sum,"
1185,17,1.5409,"graphs,mst,"
1186,12,3.6383,"case_work,greedy,sorting,"
1187,21,2.5409,"constructive,divide_and_conquer,math,"
1188,12,2.0666,"euclidean,math,number_theory,"
1189,10,1.8399,"backtracking,bruteforcing,dfs,graphs,graph_traversal,"
1190,23,9.3333,
1191,21,6.2857,"bfs,data_structures,dp,game_theory,graphs,graph_traversal,hash_set,tree_set,"
1192,22,3.1579,"bitmask,math,"
1193,6,1.9482,"implementation,math,"
1194,15,2.6545,"bfs,bitmask,graphs,graph_traversal,"
1195,11,3.1875,"bruteforcing,implementation,"
1196,22,11.4259,"arbitrary_precision,calculus,math,numerical_analysis,"
1197,12,2.449,"mst,graphs,"
1198,9,1.855,"bruteforcing,geometry,math,"
1199,17,8.115,"dfs,eulerian_path,graphs,graph_traversal,"
1200,18,1.9136,"binary_search,bruteforcing,dp,parametric_search,prefix_sum,"
1201,18,2.9275,"constructive,greedy,math,"
1202,14,4.5677,"data_structures,greedy,priority_queue,sorting,"
1203,16,14.1667,"math,"
1204,21,1.619,"dp,string,"
1205,7,4.0363,"implementation,"
1206,9,7.7413,"bruteforcing,math,"
1207,14,10.1613,"backtracking,bruteforcing,implementation,"
1208,15,4.0965,"binary_search,mitm,"
1209,17,2.7672,"dp,"
1210,20,3.8584,"flow,mfmc,"
1211,21,2.0,"bruteforcing,combinatorics,dp,math,number_theory,"
1212,4,2.792,"implementation,math,string,"
1213,8,2.4363,"greedy,implementation,string,"
1214,16,4.7756,"bruteforcing,math,number_theory,"
1215,17,3.6533,"math,number_theory,"
1217,17,2.1921,"2_sat,graphs,scc,"
1218,25,2.28,"coordinate_compression,data_structures,geometry,implementation,sweeping,"
1219,16,5.7867,"bellman_ford,graphs,graph_traversal,"
1220,19,5.5484,"coordinate_compression,dijkstra,graphs,graph_traversal,"
1221,19,17.875,"divide_and_conquer,geometry,geometry_3d,sweeping,"
1222,14,4.1435,"math,number_theory,"
1224,20,4.75,"extended_euclidean,math,number_theory,"
1225,4,2.6366,"implementation,math,string,"
1226,17,3.0905,"dp,greedy,knapsack,sorting,"
1227,19,2.6364,"ad_hoc,bfs,case_work,graphs,graph_traversal,math,"
1228,17,5.5,"data_structures,dp,dp_tree,hash_set,knapsack,trees,"
1229,12,2.2974,"dp,math,precomputation,"
1230,15,3.4096,"dp,"
1231,15,3.6357,"dp,knapsack,"
1232,22,3.125,"ad_hoc,bruteforcing,graphs,graph_traversal,"
1233,4,1.8368,"bruteforcing,implementation,"
1234,14,2.139,"combinatorics,dp,math,"
1235,7,2.0576,"implementation,string,"
1236,5,2.3982,"implementation,"
1238,13,2.0845,"dijkstra,graphs,"
1239,11,2.1496,"bruteforcing,"
1240,11,1.8877,"bfs,dfs,graphs,graph_traversal,trees,"
1241,11,3.1028,"math,number_theory,primality_test,"
1242,15,3.2278,"math,"
1243,22,2.3333,"dp,string,"
1244,7,5.03,"implementation,simulation,"
1245,11,2.2357,"bfs,dfs,graphs,graph_traversal,"
1246,7,2.3439,"greedy,sorting,"
1247,3,2.7135,"arbitrary_precision,arithmetic,math,"
1249,18,2.973,"dp,exponentiation_by_squaring,math,"
1250,25,48.2857,"data_structures,implementation,linked_list,priority_queue,"
1251,6,2.1616,"bruteforcing,implementation,sorting,string,"
1252,4,2.915,"arithmetic,implementation,math,"
1253,12,4.1379,"binary_search,data_structures,hash_set,sorting,two_pointer,"
1254,9,2.2051,"bruteforcing,string,"
1255,17,3.5185,"dijkstra,geometry,graphs,implementation,line_intersection,parsing,string,"
1256,14,3.2459,"combinatorics,dp,math,"
1257,20,3.2879,"0_1_bfs,dijkstra,dp,graphs,math,"
1258,18,1.5338,"flow,mcmf,"
1259,5,1.7376,"implementation,string,"
1260,9,2.7093,"graphs,graph_traversal,bfs,dfs,"
1261,12,2.3794,"0_1_bfs,dijkstra,graphs,graph_traversal,"
1262,10,3.0,"implementation,"
1263,10,2.3896,"greedy,sorting,"
1264,2,1.786,"implementation,string,"
1265,18,2.95,"arbitrary_precision,bitmask,dp,dp_bitfield,"
1266,23,9.0,"geometry,line_intersection,sweeping,"
1267,3,2.0716,"arithmetic,math,"
1268,5,3.1549,"implementation,"
1269,7,1.567,"data_structures,hash_set,tree_set,"
1270,8,3.4625,"data_structures,hash_set,implementation,majority_vote,"
1271,1,2.9209,"arbitrary_precision,arithmetic,math,"
1272,14,2.3214,"dp,dp_tree,trees,"
1273,18,3.248,"data_structures,prefix_sum,segtree,"
1275,15,3.3038,"segtree,data_structures,"
1277,12,3.6884,"dijkstra,graphs,"
1278,13,1.7049,"bitmask,math,recursion,"
1279,14,2.5357,"combinatorics,dp,knapsack,math,"
1280,17,5.6361,"data_structures,segtree,"
1281,22,2.0556,"duality,flow,hungarian,linear_programming,mcmf,"
1282,20,3.7037,"data_structures,dp,hashing,hash_set,tree_set,"
1283,9,2.6957,"implementation,string,"
1284,3,1.3641,"arithmetic,implementation,math,"
1285,15,2.1782,"bitmask,bruteforcing,greedy,"
1286,10,1.6591,"combinatorics,math,"
1287,16,12.7273,"arbitrary_precision,arithmetic,case_work,implementation,math,parsing,string,"
1288,22,2.3333,"geometry,half_plane_intersection,polygon_area,voronoi,"
1289,18,3.1755,"dp,dp_tree,math,trees,"
1290,20,4.7692,"bruteforcing,greedy,implementation,math,simulation,"
1291,8,4.0305,"case_work,implementation,math,number_theory,primality_test,"
1292,5,1.7611,"implementation,math,"
1293,18,2.6818,"dfs,dp,graphs,graph_traversal,knapsack,topological_sorting,"
1294,18,4.9012,"data_structures,greedy,sorting,string,"
1295,24,14.5,
1296,5,2.1321,"implementation,sorting,string,"
1297,4,1.6676,"pythagoras,geometry,"
1298,17,2.0641,"bipartite_matching,"
1299,17,8.375,"dijkstra,graphs,"
1300,14,2.6717,"binary_search,parametric_search,"
1301,13,3.2776,"dp,"
1302,7,1.9041,"data_structures,hash_set,sorting,string,"
1303,10,2.636,"bfs,dfs,graphs,graph_traversal,"
1304,13,2.9091,"bruteforcing,graphs,"
1305,17,1.8168,"kmp,string,"
1306,16,2.2719,"data_structures,segtree,sliding_window,"
1307,17,2.7794,"ad_hoc,implementation,math,"
1308,6,4.6492,"implementation,"
1309,10,2.113,"dp,"
1310,18,2.0033,"convex_hull,geometry,rotating_calipers,"
1311,15,2.3239,"bitmask,dp,dp_bitfield,"
1312,6,2.9176,"math,"
1314,18,7.45,"bitmask,dijkstra,dp,dp_bitfield,graphs,"
1315,18,4.147,"dp,"
1316,6,1.9015,"implementation,string,"
1318,13,3.0563,"bruteforcing,case_work,implementation,precomputation,"
1319,14,3.3077,"geometry,sweeping,"
1321,16,1.9055,"binary_search,data_structures,segtree,"
1322,12,2.4407,"bitmask,math,"
1323,12,3.9581,"math,number_theory,pigeonhole_principle,"
1325,10,5.1016,"bfs,dfs,graphs,graph_traversal,"
1326,9,4.0794,"bfs,graphs,graph_traversal,"
1327,11,2.4616,"bfs,data_structures,graphs,graph_traversal,hash_set,tree_set,"
1328,16,2.7852,"combinatorics,dp,math,"
1329,14,6.9333,"backtracking,dp,"
1330,1,2.015,"implementation,"
1331,6,3.1231,"implementation,simulation,"
1332,13,5.06,"bruteforcing,"
1333,4,3.3281,"implementation,simulation,"
1334,11,4.7953,"case_work,implementation,"
1335,24,5.8,"crt,discrete_log,fft,math,mobius_inversion,number_theory,"
1336,17,5.1538,"dp,prefix_sum,"
1337,7,2.3087,"implementation,sorting,two_pointer,"
1338,12,10.9917,"case_work,math,"
1339,12,2.204,"greedy,"
1340,6,2.217,"implementation,parsing,string,"
1341,13,4.7185,"implementation,math,"
1342,10,2.398,"bruteforcing,"
1343,6,1.8716,"greedy,implementation,"
1344,12,1.6384,"combinatorics,dp,math,probability,"
1345,14,7.0392,"arbitrary_precision,math,parametric_search,"
1346,17,3.1786,"dp,graphs,scc,"
1347,8,1.8486,"implementation,simulation,"
1348,19,4.1048,"bfs,binary_search,bipartite_matching,graphs,graph_traversal,"
1350,4,2.6685,"arithmetic,math,"
1351,11,2.6416,"data_structures,dp,hash_set,"
1352,15,3.1524,"backtracking,greedy,"
1353,16,4.9867,"calculus,math,"
1354,11,2.0666,"data_structures,dp,hash_set,"
1355,14,4.8182,"dfs,graphs,graph_traversal,implementation,math,"
1356,5,2.1219,"arithmetic,bruteforcing,implementation,math,string,"
1357,5,1.9157,"implementation,string,"
1358,7,1.4316,"geometry,"
1359,7,2.4105,"bruteforcing,combinatorics,math,probability,"
1360,11,3.1727,"implementation,"
1361,12,2.15,"bruteforcing,string,"
1362,4,4.0062,"implementation,simulation,"
1364,11,3.4125,"math,"
1365,14,1.7345,"binary_search,lis,"
1366,8,2.75,"bruteforcing,"
1368,14,2.3393,"graphs,mst,"
1369,16,3.6598,"dp,greedy,math,"
1370,22,5.4,"data_structures,dfs,dijkstra,disjoint_set,graphs,graph_traversal,priority_queue,smaller_to_larger,"
1371,4,2.5,"implementation,string,"
1372,19,6.9318,"bitmask,dp,dp_bitfield,string,"
1373,5,2.4405,"math,string,"
1374,11,2.2136,"data_structures,greedy,priority_queue,sorting,"
1375,14,6.2,"data_structures,dfs,graphs,graph_traversal,hash_set,string,"
1376,19,8.4907,"binary_search,data_structures,dfs,graphs,graph_traversal,segtree,"
1377,14,2.9635,"sorting,"
1379,13,2.6216,"data_structures,greedy,priority_queue,"
1380,6,2.1233,"implementation,string,"
1384,6,2.4374,"implementation,"
1385,16,4.0648,"bfs,graphs,graph_traversal,implementation,"
1386,25,23.5,"divide_and_conquer,fft,math,"
1388,7,1.4685,"dfs,graphs,graph_traversal,implementation,"
1389,10,1.7845,"bfs,floyd_warshall,graphs,graph_traversal,"
1390,19,2.1486,"bitmask,case_work,dp,dp_bitfield,implementation,"
1391,20,2.0,"ad_hoc,data_structures,sorting,stack,"
1392,4,1.3123,"implementation,"
1393,10,3.6359,"bruteforcing,math,number_theory,"
1394,11,4.2149,"combinatorics,data_structures,hash_set,math,string,"
1395,18,2.4225,"data_structures,lazyprop,segtree,"
1396,20,3.0786,"binary_search,data_structures,disjoint_set,graphs,lca,mst,pbs,trees,"
1398,14,3.6431,"dp,greedy,"
1399,16,4.431,"ad_hoc,math,number_theory,"
1400,14,4.141,"dijkstra,graphs,graph_traversal,implementation,"
1401,18,1.375,"ad_hoc,bruteforcing,math,precomputation,"
1402,6,2.0991,"ad_hoc,constructive,math,"
1404,8,1.5476,"bruteforcing,math,probability,"
1405,12,2.5055,"backtracking,bruteforcing,dfs,graphs,graph_traversal,math,probability,"
1406,9,3.7692,"data_structures,linked_list,stack,"
1407,12,2.3803,"math,"
1408,4,2.1749,"arithmetic,implementation,math,"
1409,16,4.4815,"bruteforcing,"
1410,17,2.95,"bitmask,dp,dp_bitfield,inclusion_and_exclusion,"
1411,9,1.662,"bruteforcing,string,"
1412,17,2.2664,"graphs,topological_sorting,"
1413,16,2.2736,"combinatorics,dp,math,"
1414,13,2.3311,"graphs,mst,string,"
1415,15,5.9828,"dp,knapsack,math,number_theory,primality_test,sieve,"
1416,17,2.4844,"dp,"
1417,6,2.4184,"data_structures,greedy,implementation,priority_queue,simulation,"
1418,6,2.0204,"bruteforcing,math,number_theory,primality_test,sieve,"
1419,11,4.8439,"ad_hoc,case_work,math,"
1420,19,4.251,"flow,mfmc,"
1421,9,4.5148,"bruteforcing,implementation,"
1422,17,3.7377,"greedy,sorting,"
1423,13,3.4219,"dp,"
1424,11,5.24,"arithmetic,implementation,math,"
1425,14,4.2642,"binary_search,ternary_search,"
1426,18,3.1538,"data_structures,greedy,sorting,tree_set,"
1427,6,1.5347,"sorting,string,"
1429,14,2.9333,"bruteforcing,"
1430,12,2.5854,"bfs,geometry,graphs,graph_traversal,math,"
1431,8,1.7936,"sorting,"
1432,17,3.6898,"data_structures,graphs,priority_queue,topological_sorting,"
1433,15,5.3889,"geometry,greedy,math,"
1434,4,1.4375,"arithmetic,implementation,math,"
1435,14,10.55,"geometry,geometry_3d,math,pythagoras,"
1436,6,1.8002,"bruteforcing,"
1437,12,2.5333,"greedy,math,"
1438,14,3.0,"bruteforcing,geometry,two_pointer,"
1439,6,1.8064,"greedy,string,"
1440,4,2.2193,"bruteforcing,implementation,"
1441,15,3.0805,"euclidean,inclusion_and_exclusion,math,number_theory,"
1442,19,2.2,"dp,"
1443,15,2.9162,"backtracking,bruteforcing,"
1444,19,3.1538,"bipartite_matching,"
1445,14,4.0903,"data_structures,dijkstra,graphs,"
1446,10,1.8892,"dijkstra,dp,graphs,"
1448,8,2.2826,"greedy,math,sorting,"
1449,8,2.1145,"greedy,sorting,"
1450,15,2.6341,"binary_search,mitm,"
1451,12,2.483,"bruteforcing,case_work,prefix_sum,"
1453,4,1.63,"implementation,"
1455,9,1.6619,"greedy,"
1456,11,4.1376,"math,number_theory,primality_test,sieve,"
1457,15,2.3462,"math,"
1459,7,3.0601,"case_work,math,"
1460,13,2.5227,"binary_search,bruteforcing,prefix_sum,"
1461,11,2.1158,"greedy,sorting,"
1462,17,3.1667,"dp,prefix_sum,"
1463,8,3.0681,"dp,"
1464,12,2.598,"data_structures,deque,greedy,"
1466,14,2.5,"data_structures,disjoint_set,graphs,graph_traversal,implementation,"
1467,19,3.8832,"greedy,"
1469,11,3.0857,"backtracking,bruteforcing,"
1470,14,8.6522,"greedy,"
1471,16,1.9836,"dfs,dp,graphs,graph_traversal,scc,"
1473,16,4.9452,"bfs,bitmask,graphs,graph_traversal,"
1474,10,2.2753,"backtracking,bruteforcing,greedy,string,"
1475,6,2.2726,"implementation,"
1476,6,1.5082,"bruteforcing,math,number_theory,"
1477,12,3.3155,"binary_search,parametric_search,"
1479,18,3.093,"bitmask,dp,dp_bitfield,"
1480,15,2.6867,"bitmask,dp,dp_bitfield,"
1481,13,2.0,"backtracking,"
1482,19,3.0769,"backtracking,dp,greedy,"
1484,11,2.7545,"math,two_pointer,"
1485,8,3.1569,"geometry,sorting,"
1486,14,4.3526,"dijkstra,floyd_warshall,graphs,"
1487,7,2.3703,"bruteforcing,"
1488,12,8.3,"ad_hoc,case_work,"
1489,15,2.6343,"dp,greedy,"
1490,11,3.1218,"bruteforcing,math,"
1491,7,1.709,"implementation,simulation,"
1492,19,2.2507,"combinatorics,dp,exponentiation_by_squaring,math,modular_multiplicative_inverse,number_theory,"
1493,13,3.5623,"divide_and_conquer,greedy,math,"
1494,20,4.4479,"case_work,math,number_theory,"
1495,10,2.7069,"dp,"
1497,9,3.2173,"bitmask,bruteforcing,combinatorics,math,"
1498,17,2.0878,"kmp,string,"
1499,15,4.95,"bfs,data_structures,dp,graphs,graph_traversal,hash_set,string,tree_set,"
1500,9,1.684,"math,"
1501,11,5.1356,"data_structures,hash_set,parsing,string,tree_set,"
1502,17,4.9091,"backtracking,case_work,constructive,implementation,math,"
1503,9,4.8477,"bruteforcing,"
1504,12,4.0734,"dijkstra,graphs,"
1505,17,3.0377,"bitmask,bruteforcing,greedy,"
1506,16,1.8081,"graphs,scc,"
1507,14,1.9288,"floyd_warshall,graphs,"
1508,14,3.1575,"binary_search,greedy,parametric_search,"
1509,15,2.1344,"dp,"
1510,16,2.4,"bruteforcing,combinatorics,math,"
1511,16,3.8293,"ad_hoc,greedy,"
1512,11,2.5062,"bruteforcing,greedy,string,"
1513,14,3.5615,"dp,"
1514,18,4.3891,"dp,"
1515,8,2.3034,"bruteforcing,implementation,string,"
1516,13,2.0554,"dp,graphs,topological_sorting,"
1517,16,3.3731,"data_structures,divide_and_conquer,segtree,sorting,"
1518,20,3.0769,"bipartite_matching,greedy,"
1519,13,1.65,"dp,game_theory,string,"
1520,13,3.5636,"dfs,dp,graphs,graph_traversal,"
1521,16,1.6881,"dp,math,"
1522,10,1.8379,"bruteforcing,sliding_window,"
1523,17,2.9524,"bruteforcing,graphs,"
1524,5,2.0839,"implementation,simulation,sorting,"
1525,14,2.3827,"bfs,data_structures,graphs,graph_traversal,hash_set,"
1526,5,1.6408,"bruteforcing,implementation,math,"
1527,10,2.5025,"bruteforcing,"
1528,12,3.5771,"bfs,dp,graphs,graph_traversal,"
1529,16,3.5873,"dp,exponentiation_by_squaring,math,"
1530,19,3.9286,"backtracking,dp,greedy,"
1531,6,1.4781,"implementation,simulation,"
1532,14,4.9423,"arithmetic,case_work,greedy,math,"
1533,18,2.6418,"exponentiation_by_squaring,graphs,math,"
1534,17,2.0,"dp,"
1535,9,1.8541,"bruteforcing,dp,knapsack,"
1536,18,4.8077,"flow,"
1537,16,3.9,"dijkstra,graphs,"
1538,21,2.4545,"combinatorics,gaussian_elimination,linear_algebra,math,"
1539,16,2.9597,"data_structures,trees,tree_set,"
1540,13,1.8454,"math,"
1541,9,1.8985,"greedy,math,parsing,string,"
1542,20,2.7419,"game_theory,sprague_grundy,"
1543,7,2.3236,"bruteforcing,string,"
1544,7,1.8261,"bruteforcing,data_structures,hash_set,implementation,string,"
1545,14,3.2857,"constructive,greedy,"
1546,5,2.016,"arithmetic,math,"
1547,3,1.3641,"implementation,simulation,"
1548,11,2.4712,"bruteforcing,greedy,sorting,"
1549,12,3.5769,"data_structures,prefix_sum,tree_set,"
1550,4,1.5426,"math,implementation,"
1551,5,1.7275,"implementation,math,parsing,simulation,string,"
1552,10,1.4,"bruteforcing,permutation_cycle_decomposition,"
1553,11,1.4857,"backtracking,implementation,"
1554,21,3.375,"combinatorics,math,"
1555,16,5.2472,"bruteforcing,dp,math,number_theory,primality_test,"
1556,18,3.5,"gaussian_elimination,linear_algebra,math,"
1557,21,2.7068,"binary_search,inclusion_and_exclusion,math,number_theory,"
1559,16,5.0847,"bfs,bitmask,graphs,graph_traversal,"
1560,8,2.5583,"ad_hoc,arbitrary_precision,"
1561,14,3.9422,"binary_search,parametric_search,"
1562,15,1.9941,"bitmask,dp,dp_bitfield,"
1563,12,1.9632,"dp,"
1564,9,5.3561,"math,number_theory,"
1565,12,3.9688,"euclidean,math,number_theory,"
1566,13,2.9123,"bruteforcing,"
1568,4,1.3204,"implementation,math,"
1569,8,4.082,"case_work,implementation,"
1570,12,7.2632,"ad_hoc,implementation,math,"
1571,16,2.037,"crt,extended_euclidean,math,number_theory,"
1572,16,2.7562,"binary_search,data_structures,segtree,"
1573,18,2.6364,"dp,recursion,"
1574,18,2.1094,"bipartite_matching,"
1575,19,4.0882,"bipartite_matching,"
1576,11,3.4828,"greedy,sorting,"
1577,11,3.3075,"dp,"
1578,14,1.7778,"parametric_search,"
1580,13,2.8387,"bfs,graphs,graph_traversal,implementation,"
1581,12,3.2476,"case_work,"
1582,17,3.5,"dp,implementation,knapsack,"
1584,11,2.6344,"0_1_bfs,dijkstra,graphs,graph_traversal,"
1585,18,2.8756,"flow,mcmf,"
1586,18,4.0,"articulation,graphs,graph_traversal,"
1587,15,2.1156,"greedy,"
1588,15,3.1776,"divide_and_conquer,recursion,"
