,Unnamed: 0.1,problemId,titleKo,titles,isSolvable,acceptedUserCount,level,givesNoRating,averageTries,official,tags
16,16,1016,제곱 ㄴㄴ 수,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '제곱 ㄴㄴ 수', 'isOriginal': True}]",True,7271,15,False,4.678,True,"math,number_theory,primality_test,sieve,"
17,17,1017,소수 쌍,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '소수 쌍', 'isOriginal': True}]",True,1872,18,False,3.9936,True,"bipartite_matching,math,number_theory,primality_test,sieve,"
18,18,1018,체스판 다시 칠하기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '체스판 다시 칠하기', 'isOriginal': True}]",True,38691,7,False,2.0258,True,"bruteforcing,"
19,19,1019,책 페이지,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '책 페이지', 'isOriginal': True}]",True,3707,15,False,2.4098,True,"math,"
20,20,1020,디지털 카운터,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '디지털 카운터', 'isOriginal': True}]",True,457,19,False,3.5492,True,"dp,"
21,21,1021,회전하는 큐,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '회전하는 큐', 'isOriginal': True}]",True,18572,8,False,1.644,True,"data_structures,deque,"
22,22,1022,소용돌이 예쁘게 출력하기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '소용돌이 예쁘게 출력하기', 'isOriginal': True}]",True,2801,13,False,3.3902,True,"implementation,math,"
23,23,1023,괄호 문자열,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '괄호 문자열', 'isOriginal': True}]",True,597,18,False,2.8827,True,"combinatorics,dp,math,"
24,24,1024,수열의 합,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '수열의 합', 'isOriginal': True}]",True,4637,9,False,3.5626,True,"math,"
25,25,1025,제곱수 찾기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '제곱수 찾기', 'isOriginal': True}]",True,1585,11,False,3.036,True,"bruteforcing,"
26,26,1026,보물,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '보물', 'isOriginal': True}]",True,29256,7,False,1.4687,True,"greedy,math,sorting,"
27,27,1027,고층 건물,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '고층 건물', 'isOriginal': True}]",True,2669,12,False,2.2735,True,"bruteforcing,geometry,math,"
28,28,1028,다이아몬드 광산,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '다이아몬드 광산', 'isOriginal': True}]",True,1371,16,False,4.0241,True,"dp,prefix_sum,"
29,29,1029,그림 교환,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '그림 교환', 'isOriginal': True}]",True,1037,15,False,3.6162,True,"bitmask,dp,dp_bitfield,"
30,30,1030,프렉탈 평면,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '프렉탈 평면', 'isOriginal': True}]",True,774,13,False,2.2067,True,"divide_and_conquer,implementation,recursion,"
31,31,1031,스타 대결,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '스타 대결', 'isOriginal': True}]",True,440,21,False,4.125,True,"flow,"
32,32,1032,명령 프롬프트,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '명령 프롬프트', 'isOriginal': True}]",True,15250,5,False,1.7517,True,"implementation,string,"
33,33,1033,칵테일,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '칵테일', 'isOriginal': True}]",True,928,14,False,3.1056,True,"euclidean,graphs,graph_traversal,math,number_theory,"
34,34,1034,램프,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '램프', 'isOriginal': True}]",True,1599,12,False,2.4321,True,"ad_hoc,bruteforcing,"
35,35,1035,조각 움직이기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '조각 움직이기', 'isOriginal': True}]",True,485,15,False,2.3093,True,"bfs,bitmask,bruteforcing,graphs,graph_traversal,"
36,36,1036,36진수,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '36진수', 'isOriginal': True}]",True,829,15,False,4.2883,True,"arbitrary_precision,greedy,implementation,math,string,"
37,37,1037,약수,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '약수', 'isOriginal': True}]",True,27760,5,False,1.7991,True,"math,number_theory,"
38,38,1038,감소하는 수,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '감소하는 수', 'isOriginal': True}]",True,6080,11,False,2.9707,True,"backtracking,bruteforcing,"
39,39,1039,교환,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '교환', 'isOriginal': True}]",True,2692,14,False,4.4588,True,"bfs,graphs,graph_traversal,"
40,40,1040,정수,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '정수', 'isOriginal': True}]",True,311,19,False,4.1833,True,"bitmask,dp,dp_bitfield,greedy,"
41,41,1041,주사위,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '주사위', 'isOriginal': True}]",True,3750,11,False,3.6629,True,"greedy,math,"
42,42,1042,움,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '움', 'isOriginal': True}]",True,99,20,False,2.8687,True,"dp,string,"
43,43,1043,거짓말,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '거짓말', 'isOriginal': True}]",True,7794,12,False,2.2392,True,"data_structures,disjoint_set,graphs,graph_traversal,"
44,44,1044,팀 선발,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '팀 선발', 'isOriginal': True}]",True,227,18,False,5.837,True,"bitmask,mitm,"
45,45,1045,도로,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '도로', 'isOriginal': True}]",True,300,15,False,3.68,True,"graphs,greedy,mst,"
46,46,1046,그림자,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '그림자', 'isOriginal': True}]",True,67,23,False,3.6716,True,"geometry,implementation,line_intersection,sweeping,"
47,47,1047,울타리,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '울타리', 'isOriginal': True}]",True,194,16,False,3.3969,True,"bruteforcing,greedy,"
48,48,1048,유니콘,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '유니콘', 'isOriginal': True}]",True,167,17,False,3.0659,True,"dp,prefix_sum,"
49,49,1049,기타줄,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '기타줄', 'isOriginal': True}]",True,8538,7,False,2.565,True,"greedy,math,"
50,50,1050,물약,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '물약', 'isOriginal': True}]",True,189,16,False,8.1799,True,"graphs,parsing,string,"
51,51,1051,숫자 정사각형,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '숫자 정사각형', 'isOriginal': True}]",True,6806,8,False,2.3008,True,"bruteforcing,implementation,"
52,52,1052,물병,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '물병', 'isOriginal': True}]",True,3310,10,False,2.5755,True,"bitmask,greedy,math,"
53,53,1053,팰린드롬 공장,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '팰린드롬 공장', 'isOriginal': True}]",True,381,15,False,2.6824,True,"bruteforcing,dp,"
54,54,1054,팰린드롬 문장,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '팰린드롬 문장', 'isOriginal': True}]",True,68,22,False,3.6176,True,"bitmask,dp,dp_bitfield,string,"
55,55,1055,끝이없음,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '끝이없음', 'isOriginal': True}]",True,137,18,False,4.7518,True,"implementation,recursion,simulation,"
56,56,1056,수,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '수', 'isOriginal': True}]",True,128,19,False,4.7813,True,"arbitrary_precision,binary_search,dp,"
57,57,1057,토너먼트,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '토너먼트', 'isOriginal': True}]",True,8898,7,False,1.7523,True,"bruteforcing,math,"
58,58,1058,친구,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '친구', 'isOriginal': True}]",True,3427,9,False,2.2048,True,"bruteforcing,floyd_warshall,graphs,graph_traversal,"
59,59,1059,좋은 구간,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '좋은 구간', 'isOriginal': True}]",True,3508,7,False,3.5952,True,"bruteforcing,math,sorting,"
60,60,1060,좋은 수,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '좋은 수', 'isOriginal': True}]",True,185,15,False,4.8216,True,"data_structures,math,priority_queue,sorting,"
61,61,1061,삼각형,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '삼각형', 'isOriginal': True}]",True,43,20,False,7.3256,True,"convex_hull,geometry,"
62,62,1062,가르침,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '가르침', 'isOriginal': True}]",True,6999,12,False,3.9584,True,"backtracking,bitmask,bruteforcing,"
63,63,1063,킹,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '킹', 'isOriginal': True}]",True,4081,8,False,2.5136,True,"implementation,simulation,"
64,64,1064,평행사변형,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '평행사변형', 'isOriginal': True}]",True,2061,7,False,3.2135,True,"geometry,math,pythagoras,"
65,65,1065,한수,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '한수', 'isOriginal': True}]",True,65618,7,False,1.8505,True,"bruteforcing,"
66,66,1066,에이한수,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '에이한수', 'isOriginal': True}]",True,68,19,False,1.4412,True,"dp,greedy,"
67,67,1067,이동,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '이동', 'isOriginal': True}]",True,1051,20,False,1.8554,True,"fft,math,"
68,68,1068,트리,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '트리', 'isOriginal': True}]",True,10219,11,False,3.5356,True,"dfs,graphs,graph_traversal,trees,"
69,69,1069,집으로,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '집으로', 'isOriginal': True}]",True,1058,13,False,3.3592,True,"ad_hoc,case_work,geometry,"
70,70,1070,김지민의 침략,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '김지민의 침략', 'isOriginal': True}]",True,67,20,False,3.3881,True,"flow,graphs,mfmc,"
71,71,1071,소트,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '소트', 'isOriginal': True}]",True,794,16,False,3.3741,True,"greedy,"
72,72,1072,게임,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '게임', 'isOriginal': True}]",True,6649,8,False,4.2072,True,"binary_search,math,"
73,73,1073,도미노,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '도미노', 'isOriginal': True}]",True,142,18,False,1.7887,True,"eulerian_path,graphs,math,"
74,74,1074,Z,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': 'Z', 'isOriginal': True}]",True,19409,10,False,2.4834,True,"divide_and_conquer,recursion,"
75,75,1075,나누기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '나누기', 'isOriginal': True}]",True,9721,4,False,1.7566,True,"bruteforcing,math,"
76,76,1076,저항,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '저항', 'isOriginal': True}]",True,10931,4,False,2.1935,True,"implementation,"
77,77,1077,넓이,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '넓이', 'isOriginal': True}]",True,108,20,False,4.8148,True,"convex_hull,geometry,line_intersection,point_in_convex_polygon,polygon_area,"
78,78,1078,뒤집음,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '뒤집음', 'isOriginal': True}]",True,99,20,False,6.7576,True,"bruteforcing,math,"
79,79,1079,마피아,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '마피아', 'isOriginal': True}]",True,523,14,False,4.8394,True,"bruteforcing,"
80,80,1080,행렬,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '행렬', 'isOriginal': True}]",True,6668,10,False,2.3904,True,"greedy,"
81,81,1081,합,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '합', 'isOriginal': True}]",True,777,15,False,2.4569,True,"math,"
82,82,1082,방 번호,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '방 번호', 'isOriginal': True}]",True,1089,13,False,3.2801,True,"dp,greedy,"
83,83,1083,소트,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '소트', 'isOriginal': True}]",True,1569,11,False,3.6182,True,"greedy,sorting,"
84,84,1084,방 번호 2,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '방 번호 2', 'isOriginal': True}]",True,64,19,False,7.4844,True,"greedy,implementation,"
85,85,1085,직사각형에서 탈출,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '직사각형에서 탈출', 'isOriginal': True}]",True,46903,3,False,1.5495,True,"geometry,math,"
86,86,1086,박성원,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '박성원', 'isOriginal': True}]",True,1629,16,False,3.9325,True,"bitmask,dp,dp_bitfield,"
87,87,1087,쥐 잡기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '쥐 잡기', 'isOriginal': True}]",True,242,17,False,4.4711,True,"ternary_search,"
88,88,1088,케이크,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '케이크', 'isOriginal': True}]",True,157,19,False,2.9108,True,"greedy,"
89,89,1089,스타트링크 타워,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '스타트링크 타워', 'isOriginal': True}]",True,623,12,False,3.6645,True,"implementation,math,probability,"
90,90,1090,체커,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '체커', 'isOriginal': True}]",True,180,17,False,2.4,True,"bruteforcing,"
91,91,1091,카드 섞기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '카드 섞기', 'isOriginal': True}]",True,682,12,False,2.1979,True,"implementation,simulation,"
92,92,1092,배,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '배', 'isOriginal': True}]",True,4049,11,False,4.1766,True,"greedy,sorting,"
93,93,1093,스티커 수집,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '스티커 수집', 'isOriginal': True}]",True,118,18,False,4.8136,True,"binary_search,bruteforcing,mitm,"
94,94,1094,막대기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '막대기', 'isOriginal': True}]",True,16711,6,False,1.3316,True,"bitmask,math,"
95,95,1095,마법의 구슬,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '마법의 구슬', 'isOriginal': True}]",True,146,16,False,5.8699,True,"math,number_theory,primality_test,sieve,"
96,96,1096,종이 접기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '종이 접기', 'isOriginal': True}]",True,61,18,False,3.3279,True,"bruteforcing,"
97,97,1097,마법의 문자열,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '마법의 문자열', 'isOriginal': True}]",True,273,16,False,2.1795,True,"bruteforcing,kmp,string,"
98,98,1098,쌍둥이 마을,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '쌍둥이 마을', 'isOriginal': True}]",True,38,19,False,5.8158,True,"bitmask,dp,dp_bitfield,"
99,99,1099,알 수 없는 문장,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '알 수 없는 문장', 'isOriginal': True}]",True,464,13,False,3.0388,True,"dp,"
100,100,1100,하얀 칸,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '하얀 칸', 'isOriginal': True}]",True,14620,4,False,1.3999,True,"implementation,string,"
101,101,1101,카드 정리 1,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '카드 정리 1', 'isOriginal': True}]",True,119,12,False,2.916,True,"bruteforcing,greedy,"
102,102,1102,발전소,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '발전소', 'isOriginal': True}]",True,2160,16,False,3.9597,True,"bitmask,dp,dp_bitfield,"
103,103,1103,게임,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '게임', 'isOriginal': True}]",True,2924,14,False,4.751,True,"dfs,dp,graphs,graph_traversal,"
104,104,1104,패턴,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '패턴', 'isOriginal': True}]",True,36,18,False,7.2222,True,"case_work,implementation,string,"
105,105,1105,팔,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '팔', 'isOriginal': True}]",True,2228,10,False,3.1562,True,"greedy,math,"
106,106,1106,호텔,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '호텔', 'isOriginal': True}]",True,2227,11,False,2.8833,True,"dp,knapsack,"
107,107,1107,리모컨,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '리모컨', 'isOriginal': True}]",True,16013,11,False,4.3557,True,"bruteforcing,"
108,108,1108,검색 엔진,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '검색 엔진', 'isOriginal': True}]",True,245,18,False,5.2163,True,"data_structures,graphs,hash_set,scc,topological_sorting,"
109,109,1109,섬,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '섬', 'isOriginal': True}]",True,148,18,False,4.3243,True,"bfs,dfs,graphs,graph_traversal,implementation,"
110,110,1110,더하기 사이클,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '더하기 사이클', 'isOriginal': True}]",True,97005,5,False,2.1418,True,"implementation,math,"
111,111,1111,IQ Test,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': 'IQ Test', 'isOriginal': True}]",True,1687,13,False,5.1292,True,"bruteforcing,case_work,implementation,math,"
112,112,1112,진법 변환,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '진법 변환', 'isOriginal': True}]",True,281,14,False,2.3488,True,"implementation,math,number_theory,"
113,113,1113,수영장 만들기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '수영장 만들기', 'isOriginal': True}]",True,1057,15,False,2.7483,True,"bfs,graphs,graph_traversal,implementation,simulation,"
114,114,1114,통나무 자르기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '통나무 자르기', 'isOriginal': True}]",True,664,15,False,4.6898,True,"binary_search,greedy,parametric_search,"
115,115,1115,순열,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '순열', 'isOriginal': True}]",True,159,15,False,2.1006,True,"graphs,"
116,116,1116,순열 2,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '순열 2', 'isOriginal': True}]",True,37,19,False,3.7027,True,"graphs,greedy,"
117,117,1117,색칠 1,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '색칠 1', 'isOriginal': True}]",True,339,11,False,3.2832,True,"implementation,math,"
118,118,1118,색칠 2,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '색칠 2', 'isOriginal': True}]",True,13,19,False,1.6923,True,"geometry,implementation,sorting,sweeping,"
119,119,1119,그래프,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '그래프', 'isOriginal': True}]",True,68,14,False,4.5882,True,"dfs,graphs,graph_traversal,"
120,120,1120,문자열,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '문자열', 'isOriginal': True}]",True,8547,7,False,1.7525,True,"bruteforcing,string,"
121,121,1121,도형,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '도형', 'isOriginal': True}]",True,90,18,False,4.0222,True,"dp,knapsack,math,"
122,122,1122,뒤집기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '뒤집기', 'isOriginal': True}]",True,66,17,False,5.7121,True,"bfs,case_work,graphs,graph_traversal,math,"
123,123,1123,셔플,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '셔플', 'isOriginal': True}]",True,22,22,False,3.4091,True,"exponentiation_by_squaring,math,"
124,124,1124,언더프라임,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '언더프라임', 'isOriginal': True}]",True,1365,10,False,2.5121,True,"math,number_theory,primality_test,sieve,"
125,125,1125,바닥 장식,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '바닥 장식', 'isOriginal': True}]",True,27,17,False,7.1481,True,"case_work,greedy,math,"
126,126,1126,같은 탑,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '같은 탑', 'isOriginal': True}]",True,1499,18,False,3.8372,True,"dp,"
127,127,1127,떡국,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '떡국', 'isOriginal': True}]",True,47,22,False,1.8511,True,"flow,mfmc,"
128,128,1128,피보나치 냅색,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '피보나치 냅색', 'isOriginal': True}]",True,81,20,False,5.963,True,"math,"
129,129,1129,키,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '키', 'isOriginal': True}]",True,53,18,False,2.9057,True,"greedy,sorting,"
130,130,1130,종이 레이싱,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '종이 레이싱', 'isOriginal': True}]",True,8,21,False,6.875,True,"bfs,geometry,graphs,graph_traversal,line_intersection,"
131,131,1131,숫자,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '숫자', 'isOriginal': True}]",True,162,16,False,3.1111,True,"dfs,dp,graphs,graph_traversal,"
132,132,1132,합,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '합', 'isOriginal': True}]",True,923,13,False,3.1452,True,"greedy,"
133,133,1133,반복되지 않는 단어,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '반복되지 않는 단어', 'isOriginal': True}]",True,38,16,False,2.4211,True,"backtracking,recursion,"
134,134,1134,식,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '식', 'isOriginal': True}]",True,26,21,False,6.7692,True,"bruteforcing,dp,implementation,"
135,135,1135,뉴스 전하기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '뉴스 전하기', 'isOriginal': True}]",True,1254,14,False,2.1778,True,"dp,dp_tree,greedy,sorting,trees,"
136,136,1136,조각 놓기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '조각 놓기', 'isOriginal': True}]",True,20,16,False,6.15,True,"dp,"
137,137,1137,로봇 레이스,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '로봇 레이스', 'isOriginal': True}]",True,12,17,False,1.8333,True,"bfs,dp,graphs,graph_traversal,"
138,138,1138,한 줄로 서기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '한 줄로 서기', 'isOriginal': True}]",True,5711,9,False,1.681,True,"implementation,"
139,139,1139,울타리,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '울타리', 'isOriginal': True}]",True,84,15,False,2.2381,True,"bitmask,dp,dp_bitfield,"
140,140,1140,요금,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '요금', 'isOriginal': True}]",True,27,19,False,6.1852,True,"greedy,implementation,math,"
141,141,1141,접두사,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '접두사', 'isOriginal': True}]",True,1123,10,False,1.9234,True,"greedy,sorting,string,trees,"
142,142,1142,피자,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '피자', 'isOriginal': True}]",True,25,17,False,3.68,True,"geometry,"
143,143,1143,경찰,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '경찰', 'isOriginal': True}]",True,37,19,False,3.5676,True,"graphs,scc,"
144,144,1144,싼 비용,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '싼 비용', 'isOriginal': True}]",True,107,23,False,3.3364,True,"dp,dp_connection_profile,"
145,145,1145,적어도 대부분의 배수,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '적어도 대부분의 배수', 'isOriginal': True}]",True,5325,5,False,1.6162,True,"bruteforcing,"
146,146,1146,지그재그 서기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '지그재그 서기', 'isOriginal': True}]",True,497,17,False,2.3139,True,"combinatorics,dp,math,"
147,147,1147,BOJ 소풍,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': 'BOJ 소풍', 'isOriginal': True}]",True,29,18,False,2.9655,True,"combinatorics,geometry,math,"
148,148,1148,단어 만들기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '단어 만들기', 'isOriginal': False}, {'language': 'en', 'languageDisplayName': 'en', 'title': 'Central Target', 'isOriginal': True}]",True,268,11,False,2.4776,True,"implementation,string,"
149,149,1149,RGB거리,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': 'RGB거리', 'isOriginal': True}]",True,40278,10,False,1.8585,True,"dp,"
